date,project,task,hours,startTime,endTime
20260406,"GLOBOSTAD","communication team",0.5,10:00,10:30
20260406,"ADMIN","general admin",0.33,11:00,11:20
20260406,"MANUSCRIPT","communication team",0.08,11:30,11:35
20260406,"ADMIN","general admin",0.41,11:49,12:14
20260406,"CHIESI","communication team",0.25,12:30,12:45
20260406,"CHIESI","document preparation",0.41,14:31,14:56
20260406,"MANUSCRIPT","communication team",0.38,15:00,15:24
20260406,"CHIESI","document preparation",0.51,15:52,16:24
20260406,"GLOBOSTAD","communication team",0.31,16:24,16:43
20260406,"COBENFY","project administration",0.41,16:55,17:20
20260406,"CHIESI","document preparation",0.36,19:08,19:30
20260406,"COBENFY","project administration",0.46,19:30,19:58
20260407,"COBENFY","project administration",0.06,10:12,10:16
20260407,"ADMIN","general admin",0.36,10:16,11:08
20260407,"POSEIDON","aps review",0.39,11:08,11:31
20260407,"GLOBOSTAD","communication team",0.01,11:31,11:32
20260407,"POSEIDON","eTMF",0,11:46,11:46
20260407,"GLOBOSTAD","communication team",0.18,11:46,12:02
20260407,"POSEIDON","aps review",0.47,12:02,12:37
20260407,"COBENFY","project administration",0.18,14:29,14:40
20260407,"CHOROS","table qc",0.38,14:40,15:03
20260407,"COBENFY","project administration",0.03,15:03,15:05
20260407,"COBENFY","project administration",0.04,15:54,15:57
20260407,"MANUSCRIPT","aps",1.22,15:57,17:28
20260407,"COBENFY","communication team",0.35,17:28,17:49
20260408,"MANUSCRIPT","communication team",0.5,09:00,09:30
20260408,"GLOBOSTAD","communication team",0.5,09:30,10:00
20260408,"POSEIDON","communication team",0.8,10:00,10:48
20260408,"ADMIN","general admin",0.23,11:25,11:39
20260408,"COBENFY","comments check",1.35,11:39,13:00
20260408,"CHOROS","communication team",0.18,13:00,13:11
20260408,"COBENFY","comments check",0.41,14:53,15:18
20260408,"COBENFY","project administration",0.06,15:20,15:23
20260408,"COBENFY","client communication",0.41,15:31,15:56
20260408,"COBENFY","communication team",0.41,16:18,17:00
20260408,"ABEMA EBC","table qc",0.41,17:30,17:55
20260408,"CHOROS","table qc",0.37,17:59,18:22
20260408,"MANUSCRIPT","aps",0.31,18:23,18:41